AP1M2	2036812	226	23	1684
AP1S1	1044715	199	39	602
AP1S2	170722	443	47	726
AP1S3	263604	197	16	788
AP2A1	1686482	172	42	2931
AP2A2	1509286	246	48	3090
AP2B1	715620	196	9	3113
AP2M1	1456939	257	45	1601
AP2S1	1217560	186	44	528
AP3B1	262852	592	40	3304
AP3B2	509813	608	16	3407
AP3D1	1712606	216	30	3755
AP3M1	776926	227	49	1254
AP3M2	580110	382	45	1362
AP3S1	380598	759	6	612
AP3S2	952242	212	33	484
AP4B1	335231	545	13	2288
AP4E1	343136	355	34	3499
AP4M1	1401098	205	46	1526
AP4S1	432061	238	23	746
APAF1	488214	461	11	3806
APBA1	209495	673	-5	2511
APBA2	161108	927	-21	2247
APBA3	2144458	206	34	1725
APBB1	424837	471	17	2257
APBB1IP	236125	536	19	2061
APBB2	227095	394	39	2288
APBB3	706371	319	29	1640
APC	247811	399	28	8604
APC2	2352825	221	38	6912
APCDD1	219220	604	2	1684
APCDD1L	1027182	485	24	1585
APCS	492825	646	-4	669
APEH	1551582	271	48	2250
APEX1	464497	395	17	1024
APEX2	245504	443	8	1554
APH1A	1213150	197	38	803
APH1B	450620	272	49	859
API5	349378	924	-23	1784
APIP	650532	399	1	821
APITD1	771199	383	28	172
APLF	227462	617	22	1574
APLN	340263	443	46	478
APLNR	929334	250	-20	1140
APLP1	1060028	321	47	2112
APLP2	624855	203	15	2504
APOA1	421374	323	39	892
APOA1BP	2049505	180	37	935
APOA2	728669	234	37	185
APOA4	419339	326	36	1188
APOA5	419339	326	36	1098
APOB	222162	698	-11	13769
APOBEC1	237142	672	14	708
APOBEC2	145501	611	37	672
APOBEC3A	1413709	372	44	597
APOBEC3B	1413709	372	44	1470
APOBEC3C	1386387	372	71	570
APOBEC3D	1386387	372	71	1158
APOBEC3F	1386387	372	71	1234
APOBEC3G	1386387	372	71	1169
APOBEC3H	1225154	223	75	606
APOBEC4	658491	443	20	1101
APOC1	1003719	196	6	508
APOC2	1003719	196	6	536
APOC3	421374	323	39	351
APOC4	1003719	196	6	163
APOD	794351	315	38	773
APOE	1003719	196	6	1029
APOF	2869106	184	52	978
APOH	135537	178	-23	1035
APOL1	1237332	331	42	1520
APOL2	1237332	331	42	1347
APOL3	1228837	331	13	1522
APOL4	1233084	331	28	1327
APOL5	1161568	376	-43	1299
APOL6	936853	205	-13	1029
APOLD1	767161	129	35	744
APOM	2517236	193	20	626
APOO	509881	443	41	594
APOOL	83775	443	-12	804
APP	529745	793	-13	2411
APPBP2	372707	242	7	1784
APPL1	427002	389	33	2130
APPL2	233879	387	30	2152
